,Interest,Clean driving record,Education,Skills,Traits,Persistant?,role in a group,work outdoors,Customer service,Label
0,communication,no ,Bachelor's ,analytical competence,Willing to learn,no,leader,no,no,IT-Freelance
1,Other,yes,no,analytical competence,empathetic,yes,leader,no,no,Childcare
2,Other,yes,Other license,skill of hands and power tools,patient,yes,leader,yes,no,Maintenance
3,travel,yes,no,physical abilities,empathetic,yes,leader,yes,no,Moving
4,Other,no ,GED/High School Diploma,analytical competence,empathetic,no,team player,yes,no,IT-Freelance
5,entrepreneur,yes,Degree from Technical College,other,patient,no,team player,no,yes,Real Estate
6,travel,no ,no,persuasion,empathetic,no,leader,no,yes,Transportation
7,entrepreneur,yes,Other license,analytical competence,patient,yes,leader,no,yes,E-commerce
8,Other,no ,Bachelor's ,physical abilities,organized,no,leader,no,no,Moving
9,Other,yes,no,physical abilities,patient,yes,leader,yes,no,Delivery/Carrier
10,travel,no ,no,analytical competence,organized,no,leader,no,yes,E-Commerce
11,Other,no ,Bachelor's ,persuasion,patient,no,team player,no,no,Childcare
12,Other,no ,Commercial Driver's License,physical abilities,organized,no,leader,yes,yes,Moving
13,Other,no ,no,analytical competence,Willing to learn,yes,team player,yes,yes,Customer Service
14,travel,yes,no,persuasion,empathetic,no,team player,no,yes,Pet Sitting
15,entrepreneur,no ,Bachelor's ,skill of hands and power tools,patient,no,leader,yes,yes,Maintenance
16,entrepreneur,no ,GED/High School Diploma,persuasion,patient,no,leader,yes,no,E-commerce
17,entrepreneur,no ,Commercial Driver's License,analytical competence,empathetic,no,team player,yes,yes,IT-Freelance
18,entrepreneur,no ,Commercial Driver's License,persuasion,patient,yes,leader,yes,yes,Real Estate
19,entrepreneur,no ,Other license,persuasion,Willing to learn,yes,team player,no,yes,Customer Service
20,entrepreneur,no ,no,physical abilities,patient,yes,team player,no,yes,Moving
